Time,Wechat,Instagram,Hupu,Alipay,Hour
1,7.5,0.71,3.2,0,1
2,6.2,0.51,1.82,0,2
3,8.7,2.44,0.9,0.1,3
4,5.78,0.42,2.2,0.9,4
5,2.7,1.6,0.49,0.2,5
6,0.07,0.5,0.5,0,6
7,1,0,0,0.1,7
8,0.02,0,0,0.01,8
9,0.5,0.2,2.1,0.2,9
10,1.85,0.95,1.05,0.57,10
11,7.4,0.7,0.8,0.28,11
12,9,2.4,2.97,1.38,12
13,7.76,1.66,1.88,0.79,13
14,8.58,1.99,2.1,0.2,14
15,4.16,3.8,1.16,0.1,15
16,5.2,3.26,0.56,0.01,16
17,3.84,1.05,0.2,0,17
18,3.23,3.41,0.72,0,18
19,5.03,2.41,0.57,0.23,19
20,3.72,2.06,0.63,8.3,20
21,4.66,1.22,1.11,0.16,21
22,4.92,2.29,0.79,0.41,22
23,6.87,1.19,1.86,0.17,23
24,8,0.68,2,0.06,24
25,7.5,0.71,3.2,0,1
26,6.2,0.51,1.82,0,2
27,8.7,2.44,0.9,0.1,3
28,5.78,0.42,2.2,0.9,4
29,2.7,1.6,0.49,0.2,5
30,0.07,0.5,0.5,0,6
31,1,0,0,0.1,7
32,0.02,0,0,0.01,8
33,0.5,0.2,2.1,0.2,9
34,1.85,0.95,1.05,0.57,10
35,7.4,0.7,0.8,0.28,11
36,9,2.4,2.97,1.38,12
37,7.76,1.66,1.88,0.79,13
38,8.58,1.99,2.1,0.2,14
39,4.16,3.8,1.16,0.1,15
40,5.2,3.26,0.56,0.01,16
41,3.84,1.05,0.2,0,17
42,3.23,3.41,0.72,0,18
43,5.03,2.41,0.57,0.23,19
44,3.72,2.06,0.63,8.3,20
45,4.66,1.22,1.11,0.16,21
46,4.92,2.29,0.79,0.41,22
47,6.87,1.19,1.86,0.17,23
48,8,0.68,2,0.06,24
49,7.5,0.71,3.2,0,1
50,6.2,0.51,1.82,0,2
51,8.7,2.44,0.9,0.1,3
52,5.78,0.42,2.2,0.9,4
53,2.7,1.6,0.49,0.2,5
54,0.07,0.5,0.5,0,6
55,1,0,0,0.1,7
56,0.02,0,0,0.01,8
57,0.5,0.2,2.1,0.2,9
58,1.85,0.95,1.05,0.57,10
59,7.4,0.7,0.8,0.28,11
60,9,2.4,2.97,1.38,12
61,7.76,1.66,1.88,0.79,13
62,8.58,1.99,2.1,0.2,14
63,4.16,3.8,1.16,0.1,15
64,5.2,3.26,0.56,0.01,16
65,3.84,1.05,0.2,0,17
66,3.23,3.41,0.72,0,18
67,5.03,2.41,0.57,0.23,19
68,3.72,2.06,0.63,8.3,20
69,4.66,1.22,1.11,0.16,21
70,4.92,2.29,0.79,0.41,22
71,6.87,1.19,1.86,0.17,23
72,8,0.68,2,0.06,24
73,7.5,0.71,3.2,0,1
74,6.2,0.51,1.82,0,2
75,8.7,2.44,0.9,0.1,3
76,5.78,0.42,2.2,0.9,4
77,2.7,1.6,0.49,0.2,5
78,0.07,0.5,0.5,0,6
79,1,0,0,0.1,7
80,0.02,0,0,0.01,8
81,0.5,0.2,2.1,0.2,9
82,1.85,0.95,1.05,0.57,10
83,7.4,0.7,0.8,0.28,11
84,9,2.4,2.97,1.38,12
85,7.76,1.66,1.88,0.79,13
86,8.58,1.99,2.1,0.2,14
87,4.16,3.8,1.16,0.1,15
88,5.2,3.26,0.56,0.01,16
89,3.84,1.05,0.2,0,17
90,3.23,3.41,0.72,0,18
91,5.03,2.41,0.57,0.23,19
92,3.72,2.06,0.63,8.3,20
93,4.66,1.22,1.11,0.16,21
94,4.92,2.29,0.79,0.41,22
95,6.87,1.19,1.86,0.17,23
96,8,0.68,2,0.06,24
